翹	kiu4
鉛	yun4
喫	hek3/yaak
贡	gung3
淄	ji1
逞	ching2
薐	ling4
猶	yau4
宙	jau6
设	chit3
郧	wan4
抚	fu2
嗿	taam2
詹	jim1
絫	leui4
襤	laam4
攉	fok3
琪	kei4
偓	ak1
劙	lei5
豺	chaai4
恤	seut1/seut1
雚	gun3
膴	mou5
內	noi6
昱	yuk1
慆	tou1
倪	ngai4
璊	mun4
億	yik1
銷	siu1
显	hin2
噎	yit3
閼	aat1/aat3/yin1
炒	chaau2
稈	gon2
欙	leui5
䜣	yan1
暋	man5
陀	to4
崞	gwok3
阹	keui1
媻	po4
逢	fung4
充	chung1
莺	ang1
坰	gwing1
莅	lei6
谇	seui6
絿	kau6
甕	ong3/ung3
瓯	au1
狽	bui3
艷	yim6
憝	deui6
丙	bing2
猿	yun4
鷖	yi1
滦	lyun4
鼫	sek6
鯔	ji1
家	ga1
嗙	pong3
饰	sik1
週	jau1
窿	lung4
脞	cho2
進	jeun3
彳	chik1
汀	ting1
蕣	seun3
桩	jong1
臾	yu4
鸥	au1
鲻	ji1
薪	san1
抿	man5
蝨	sat1
謗	pong3
圆	yun4
豌	wun1
笕	gan2
宜	yi4
欒	lyun4
筭	syun3
卑	bei1
视	si6
拮	git3
嘯	siu3
蘘	yeung4
側	jak1
弢	tou1
呡	man3
系	hai6/hai6/hai6
豎	syu6
剑	gim3
踼	dong6
闭	bai3
嗜	si3
汴	bin6
渌	luk6
浙	jit3
茷	fat6/pui3
鸛	gun3
诓	hong1
兑	deui3
完	yun4
牝	pan5
瓛	wun4
岁	seui3
殍	piu5
肅	suk1
额	ngaak6
轱	ku1
晃	fong2
僮	jung3/tung4
髆	bok3
瑾	gan2/gan6
禽	kam4
圛	yik6
崭	jaam2
茭	gaau1
顆	fo2
謔	yeuk6
荅	daap3
殀	yiu2
鶘	wu4
麑	ngai4
可	ho2
霂	muk6
晤	ng6
苴	zeoi1
閑	haan4
彼	bei2
蝙	bin1/bin2
渡	dou6
拇	mou5
鐸	dok6
粱	leung4
厹	kau2
卿	hing1
鋇	bui3
墟	heui1
窝	wo1
距	keui5/geui6
玻	bo1
窜	chyun3
咻	yau1
繄	yi1
绁	sit3
暢	cheung3
綰	waan2
錠	ding3
坯	pui1
丫	a1
堅	gin1
楰	yu4
氂	moi4
夥	fo2
觞	seung1
齏	jai1
俦	chau4
踢	tek3
揿	gam6
岳	ngok6/ngok6
偬	jung2
篱	lei4
踆	jeun3
薰	fan1
幾	gei2/gei1
畸	kei1/gei1
籠	lung4/lung5
唏	hei1
頑	wan4
豔	yim6
驴	leui4/lou4
倾	king1
髮	faat3
扊	yim5
橁	cheun4
頀	wu6
占	jim1/jim3
廣	gwong2
楄	pin4
沱	to4
鍍	dou6
奔	ban1
醜	chau2
淒	chai1
嚃	daap3
鼈	bit3
然	yin4
毘	pei3
獭	chaat3
曆	lik6
栊	lung4
㷫	hing3
绛	gong3
穆	muk6
撐	chaang1/chaang3
鼴	yin2
殭	geung1
篢	lung5
曰	yut6/yeuk6
躪	leun6
渢	fung1
缺	kyut3
浣	wun5
痠	syun1
泆	yat6
覯	gau3
糕	gou1
鵑	gyun1
蔻	kau3
轝	yu4
蚌	pong5
媒	mui4
喲	yo1
轾	ji3
脊	jik3
輹	fuk1
另	ling6
嘓	gwok3
菁	jing1
酷	huk6
伥	cheung1/chaang1
玩	wun6/waan2
惄	nik6
馈	gwai6
撅	kyut3
剌	laat6
阯	ji2
領	ling5/leng5
知	ji1/ji3
嚟	lai4
國	gwok3
辫	bin1
邦	bong1
煥	wun6
兗	yin5
韆	chin1
魈	siu1
獅	si1
纜	laam6
划	waak6/wa4
滷	lou5
斯	si1
託	tok3
哫	juk1
舛	chyun2
孻	laai1
堪	ham1
呬	hei3
槊	sok3
撰	jaan6/jaan6
泸	lou4
欣	yan1
嶡	kyut3
旋	syun4
峴	yin6
燊	san1
吔	ya3
揀	gaan2
籮	lo4
奈	noi6
鳜	gwai3
薄	bok6
凭	pang4
屎	si2
暌	kwai4
镦	deun1
喝	hot3
柏	paak3/baak3
烯	hei1
矢	chi2
躅	juk6
猥	wai2
貨	fo3
柞	ja6/jaak3/jok6
鋮	sing4
羼	chan3
她	ta1
徊	wui4
哢	lung6
罛	gu1
傴	yu2
栅	chaak3/saan1/saan3
犰	kau4
努	nou5
僂	lau4
芾	fai3/fat1
龠	yeuk6
蚡	fan4
谏	gaan3
到	dou3
忻	yan1
糲	lai6
芨	gap1
偵	jing1
區	keui1/au1
緘	gaam1
嚨	lung4
揃	jin1
蛎	lai6
铄	seuk3
奇	kei4
搭	daap3
醊	jyut3
囓	ngaat6/yit6
鄎	sik1
灺	che6
燭	juk1
老	lou5
蝶	dip6
榭	je6
腒	keui4
綍	but6
彭	pang4
呕	au2
鯠	loi4
窶	geui6/lau4
钱	chin2/chin4
齉	nung6
卌	se3
臭	chau3
韉	jin1
明	ming4
镤	buk6
铖	sing4
蛩	kung4
貢	gung3
嚎	hou4
胂	seun3
膵	seui6
鑌	ban1
腑	fu2
瀰	nei4
劬	keui4
燼	jeun6
埳	ham2
傺	chai3
钁	fok3
皁	jou6
碲	dai3
緎	wik6
軥	keui4
餘	yu4
尿	niu6
婐	gwo2
澈	chit3
鸵	to4
莠	yau5
蘼	mei4
禢	hyun1
铒	yi5
卟	buk1
軲	ku1
皺	jau3
籃	laam4
勩	yi6
錼	noi6
冇	mou5
眢	yun1
孛	but6
詔	jiu3
窃	sit3
珑	lung4
药	yeuk6
夾	gaap3/gaap2
呣	m2/m6
衬	chan3
鬒	jan2
濯	jok6
叠	dip6/daap6
鉞	yut6
权	kyun4
務	mou6
拒	keui5
默	mak6
煙	yin1
餽	gwai6
炔	kyut3
韘	sip3
痛	tung3
筒	tung2/tung4
混	wan6
臼	kau5/kau3
殳	syu4
击	gik1
銬	kaau3
鲡	lei4
刑	ying4
糠	hong1
岱	doi6
禎	jing1
箩	lo4
诿	wai2
婕	jit6
帔	pei3
咀	zeoi2
懋	mau6
璺	man6
缆	laam6
毂	guk1
淙	chung4
魘	yim2
竜	lung4
釅	yim6
蔟	chuk6
薘	daat6
妞	nau2
現	yin6
剕	fei6
灾	joi1
樣	yeung6
枞	chung1
熬	ngou4
擬	yi5
噁	ok3
瀣	haai6
鷙	ji3
闹	naau6
锣	lo4
諞	pin4
褐	hot3
狃	nau2
塚	chung2
谵	jim1
濾	leui6
亿	yik1
仔	jai2/ji2
叁	chaam1/sam1
紾	chan2
呶	naau4
贳	sai3
鱲	laap6/lip6
戁	naan2
眥	ji6
虑	leui6
贬	bin2
荻	dik6
藟	leui5
釬	hon6
塋	ying4
絁	si1
镣	liu4
帅	seui3
捡	gim2
舀	yiu5
咐	fu6
溥	pou2
亘	gang2
闲	haan4
妥	to5
嚭	pei2
镫	dang3
蘺	lei4
濟	jai3/jai2
愣	ling6
赎	suk6
楞	ling4
骋	ching2
囅	chin2
虜	lou5
脍	kui2
慘	chaam2
扯	che2
哀	oi1
噸	deun1
載	joi3/joi2
啤	be1/pe1
縰	saai2
蛙	wa1
骇	haai5/hoi4
曝	buk6
觼	kyut3
跺	do2
溱	jeun1
寬	fun1
赀	ji1
咮	jau3/jyu1
沛	pui3
玦	kyut3
酴	tou4
癈	fai3
碏	jeuk3
仕	si6
溏	tong4
頓	deun6/duk6
摭	jek3
流	lau4
皋	gou1
戛	aat3/gaat3
靈	ling4
吰	wang4
鵩	fuk6
跬	kwai2
槳	jeung2
凜	lam5
危	ngai4
湧	yung2
燦	chan3
蕞	zeoi3
瘧	yeuk6
翌	yik6
卫	wai6
袋	doi6/doi2
獠	liu4
焱	yim6
蟑	jeung1
晉	jeun3
榾	gwat1
窺	kwai1
搂	lau5/lau1/lau2/lau4
巳	ji6
趲	jaan2
閿	man4
悛	syun1
忠	jung1
但	daan6
苶	nip6
饲	ji6
垄	lung5
逍	siu1
饴	yi4
散	saan3/saan2
嬡	oi3
给	kap1
镄	fai3
弌	yat1
怜	lin4
臺	toi4
绠	gang2
燈	dang1
聽	teng1/ting1/ting3
徬	pong4
蒔	si4
攬	laam5
傞	cho1
隉	nip6
赌	dou2
杏	hang6
𦢊	pok1
琛	sam1
遇	yu6
铤	ting5
铜	tung4
哺	bou6/bou6
泖	maau5
频	pan4
迕	ng6
乙	yut6
縭	lei4
呲	ji1
毳	cheui3
驼	to4
搆	gau3/kau3
潿	wai4
揄	yu4
選	syun2
蠸	kyun4
棰	cheui4
阄	gau1
演	yin2
廿	ya6/nim6/ye6
玳	doi6
茇	baat6
轺	yiu4
缠	chin4/jin6
魔	mo1
浡	but6
茴	wui4
笳	ga1
庙	miu6
粺	baai6/bai6
埵	do2
篡	saan3
愤	fan5
易	yi6/yik6
漪	yi1
嚄	o2
茔	ying4
傩	no4
騋	loi6
餐	chaan1
麝	se6
厉	lai6
